Size,Mean_GFLOPS,Variance
812,6.45782,0.035397
813,6.06086,0.651469
814,6.46434,0.0259427
815,6.47495,0.0400478
816,6.45323,0.0306565
817,6.4569,0.040846
818,6.46907,0.0316993
819,6.46477,0.0406807
820,6.46583,0.030471
821,6.47004,0.0355543
822,6.47411,0.0317499
823,6.45831,0.0341324
824,6.48507,0.0321469
825,6.49546,0.0372016
826,6.47972,0.0284552
827,6.47233,0.0353119
828,6.47473,0.0279761
829,6.46506,0.035557
830,6.49513,0.0263565
831,6.47575,0.0292777
832,6.46514,0.024903
833,6.46244,0.0331551
834,6.47784,0.0220248
835,6.47686,0.0303916
836,6.47745,0.0231867
837,6.46292,0.0302967
838,6.48793,0.0213782
839,6.50589,0.0294986
840,6.49746,0.0225707
841,6.49885,0.0291919
842,6.50152,0.0230765
843,6.47206,0.0270337
844,6.48602,0.0204938
845,6.47853,0.0251639
846,6.48491,0.0187525
847,6.47701,0.0254911
848,6.49395,0.0177301
849,6.47944,0.0258523
850,6.50476,0.0192292
851,6.50097,0.0251046
852,6.5141,0.0188439
853,6.48978,0.0233853
854,6.49716,0.0165191
855,6.4912,0.0217769
856,6.51038,0.0186269
857,6.50297,0.0221163
858,6.51413,0.0165771
859,6.49562,0.0206302
860,6.5078,0.0154428
861,6.51355,0.0196816
862,6.52106,0.0153196
863,6.51527,0.0214356
864,6.52388,0.0103761
865,6.53301,0.0216177
866,6.50984,0.0138127
867,6.50854,0.0171557
868,6.51064,0.0130328
869,6.51821,0.0203261
870,6.53865,0.0141942
871,6.5061,0.0158996
872,6.53055,0.0123272
873,6.51632,0.0166013
874,6.55033,0.0100682
875,6.42241,0.106497
876,6.52587,0.0107851
877,6.52176,0.0148043
878,6.54568,0.00901751
879,6.52183,0.0144499
880,6.5159,0.0101757
881,6.5163,0.0173514
882,6.54808,0.0118405
883,6.55607,0.0148041
884,6.56164,0.0109217
885,6.54284,0.0137005
886,6.53897,0.00888321
887,6.53143,0.0135706
888,6.53824,0.00831547
889,6.53975,0.0127432
890,6.56931,0.00965269
891,6.53274,0.0128743
892,6.57042,0.00821584
893,6.53728,0.0125263
894,6.55292,0.00798852
895,6.52334,0.0118511
896,6.5264,0.00794607
897,6.53961,0.0130782
898,6.55738,0.00615314
899,6.5429,0.00924894
900,6.55629,0.00680834
901,6.55052,0.0103614
902,6.55959,0.00628297
903,6.54689,0.010909
904,6.55136,0.00656907
905,6.53984,0.0109149
906,6.54852,0.00609489
907,6.54621,0.00945471
908,6.5604,0.00518566
909,6.5384,0.00884288
910,6.55732,0.00408222
911,6.53461,0.00839703
912,6.54029,0.00513927
913,6.53578,0.00887834
914,6.54781,0.00463711
915,6.51779,0.00815391
916,6.57325,0.00485018
917,6.54312,0.00835764
918,6.55508,0.00377709
919,6.54672,0.00723762
920,6.53442,0.00408465
921,6.54093,0.00774051
922,6.55924,0.0036246
923,6.56309,0.00683602
924,6.58574,0.00301973
925,6.56517,0.00660891
926,6.60082,0.00373594
927,6.57503,0.00515388
928,6.48845,0.0336494
929,6.57606,0.00450223
930,6.59042,0.00311688
931,6.5755,0.00627221
932,6.57588,0.00369004
933,6.57432,0.00604733
934,6.57971,0.00349937
935,6.57413,0.00525331
936,6.57684,0.0035651
937,6.55029,0.00514787
938,6.5804,0.00338108
939,6.54118,0.00489776
940,6.56099,0.00371974
941,6.5596,0.00442695
942,6.572,0.00381421
943,6.57787,0.00437115
944,6.55485,0.00450053
945,6.56839,0.00422037
946,6.56569,0.00358483
947,6.56646,0.00412049
948,6.59407,0.0032606
949,6.55319,0.00387603
950,6.57595,0.00400278
951,6.52824,0.00210743
952,6.58994,0.00384696
953,6.57956,0.00291074
954,6.5876,0.00500774
955,6.58713,0.00406626
956,6.56337,0.00314858
957,6.59676,0.00313551
958,6.58651,0.00241442
959,6.6016,0.00378716
960,6.59478,0.00362699
961,6.58435,0.00295149
962,6.58764,0.00198206
963,6.5947,0.00327323
964,6.49676,0.0451578
965,6.59582,0.00381331
966,6.59798,0.00352342
967,6.59237,0.00284411
968,6.58198,0.00267795
969,6.5499,0.00289088
970,6.60418,0.00280192
971,6.59706,0.00297177
972,6.60606,0.00259283
973,6.07501,0.579244
974,6.59068,0.00360457
975,6.59488,0.00360703
976,6.55521,0.00402489
977,6.59813,0.00377962
